"","index","trip_id","highway","highway_val","car_construction_year","car_engine_displ","car_manufacturer","time_type","lit","time_diff","throttle_position_avg","throttle_position_diff_avg","speed_avg","rpm_avg","rpm_diff_avg","acceleration_avg","deceleration_avg","distance","cycleway","intake_temp_avg","engine_load_avg","engine_load_diff_avg","intake_pressure_avg","co2_emission_per_dist","outliers"
"1",0,"5777aedae4b0ea24642b864e","secondary",0.625,0.75,0.201065246338216,"AUDI","daylight","no",0.138297872340426,0.124046817050053,0.0207502081009902,0.160807576779808,0.273159996620008,0.131565949122311,0.0914127738004289,0.113190772770771,0.0276102590481301,"no",0.664586449135144,0.123095492492179,0.512699716436962,0.148396001827508,0.0630383282514893,FALSE
"2",0.000912408759124088,"5777aedae4b0ea24642b864e","residential",0.25,0.75,0.201065246338216,"AUDI","daylight","no",0.342198581560284,0.167873027583854,0.0809529396887572,0.225082948690357,0.306531527487538,0.229629486027381,0.153828549499279,0.161680117152966,0.0953172339367428,"no",0.701653148002567,0.146438700792266,0.505011590543462,0.220093614489232,0.0897569114767894,FALSE
"3",0.00182481751824818,"5777aedae4b0ea24642b864e","primary",0.75,0.75,0.201065246338216,"AUDI","daylight","no",0.0851063829787236,0.158960289892748,0.0255114048778226,0.382633556007191,0.498109123241965,0.114158773063527,0.0252084110393624,0.070141033985082,0.0409270118008015,"no",0.766137093481466,0.147830183040205,0.480235716724722,0.183298459756763,0.123257336972379,FALSE
"4",0.00273722627737226,"5777aedae4b0ea24642b864e","tertiary",0.5,0.75,0.201065246338216,"AUDI","daylight","no",0.0673758865248227,0.129270395924857,0.0236426394236715,0.204649476485771,0.400426932905792,0.286087769028709,0.143237823967868,0.268816417695438,0.0167556835646386,"no",0.774949224693757,0.123379635689313,0.506784605535973,0.142329703991985,0.078081409013915,FALSE
"5",0.00364963503649635,"5777aedae4b0ea24642b864e","service",0.125,0.75,0.201065246338216,"AUDI","daylight","no",0.093971631205674,0.238832220323396,0.135479581192064,0.0303955617644102,0.163291874327523,0.110048584447013,0.11699641480112,0.0513349707651624,0.00450025928331112,"no",0.802729488227885,0.187635297829613,0.514309995909938,0.216987355620731,0.0636269458852514,FALSE
"6",0.00456204379562044,"5777aedae4b0ea24642b864e","primary",0.75,0.75,0.201065246338216,"AUDI","daylight","no",0.00531914893617022,0.17438929520045,0.0290718709167681,0.278710224972299,0.337291411662603,0.0288592946612227,0.0486966412200919,0,0.00304431169569404,"no",0.839744295376162,0.309306543303171,0.39849019687164,0.345525108639485,0.136526256760104,FALSE
"7",0.00638686131386861,"5777aedde4b0ea24642b8757","primary",0.75,0.75,0.201065246338216,"AUDI","daylight","yes",0.120567375886525,0.160230621825927,0.108952967032678,0.0491705908241917,0.183268580742709,0.161289262419271,0.0820133733323707,0.108144448240178,0.00716493087105613,"no",0.87406512871619,0.133133540609198,0.50213677424921,0.165968866855362,0.043618685798461,FALSE
"8",0.0072992700729927,"5777aedde4b0ea24642b8757","small_street",0,0.75,0.201065246338216,"AUDI","daylight","no",0.00531914893617022,0.125881123750376,0,0.248656819406749,0.496213582694355,0.108195333754783,0.0824514894097008,0,0.00275867778474271,"no",0.88121316245687,0,0.521153538471921,0.0701186169616158,0.0645479306879337,FALSE
"9",0.00821167883211679,"5777aedde4b0ea24642b8757","residential",0.25,0.75,0.201065246338216,"AUDI","daylight","no",0.00531914893617022,0.125881123750376,0.0947368413209915,0.2665129012687,0.539542454512891,0.341379651398679,0.265327333981926,0,0.00316614602460864,"no",0.88121316245687,0.0295808844036634,0.747776312698722,0.063191370524097,0.0676259689096756,FALSE
"10",0.00912408759124088,"5777aedde4b0ea24642b8757","tertiary",0.5,0.75,0.201065246338216,"AUDI","daylight","no",0.00531914893617022,0.217358680253715,0.031578947838984,0.323973435089414,0.675894648283998,0.295055546609342,0.450277217398552,0,0.00400457006707169,"no",0.881213169408629,0.428493124730764,0.4041116280808,0.543748374786031,0.383400183016577,FALSE
"11",0.010036496350365,"5777aedde4b0ea24642b8757","primary",0.75,0.75,0.201065246338216,"AUDI","daylight","yes",0.306737588652483,0.145729735113875,0.0244980954193979,0.1698425848182,0.209900264219368,0.216581048394029,0.106617926199956,0.13883928713389,0.0635274349496915,"track",0.84566842792405,0.129584979440657,0.498622727751082,0.336935936731518,0.062669927382049,FALSE
"12",0.0109489051094891,"5777aedde4b0ea24642b8757","tertiary",0.5,0.75,0.201065246338216,"AUDI","daylight","no",0.00531914893617022,0.125881123750376,0.228997015953064,0.28020121547448,0.56015098332732,0.210642678610858,0.137544926736592,0,0.00316454177647295,"no",0.850111515158767,0.0174987169414093,0.854502921485462,0.0656645363680531,0.0728404220221171,FALSE
"13",0.0118613138686131,"5777aedde4b0ea24642b8757","residential",0.25,0.75,0.201065246338216,"AUDI","daylight","no",0.102836879432624,0.161081141031589,0.0382277596022999,0.363152743435507,0.491443983322654,0.124975640734058,0.0429044295959874,0.179772501377861,0.0454468839143367,"no",0.839435762378077,0.163433453491334,0.477202811014876,0.197202130646319,0.131868595938569,FALSE
"14",0.0155109489051095,"5777aedde4b0ea24642b8757","residential",0.25,0.75,0.201065246338216,"AUDI","daylight","no",0.0496453900709221,0.106032183776612,0.132162778829469,0.00800865764155346,0.124801133975031,0.234722762777386,0.238603406560056,0.0409901421659803,0.00190886746738968,"no",0.857022996230395,0.107094814635098,0.565946560664145,0.117939949434029,0.0164743738223009,FALSE
